ids,label,COIPLUS Description,LCF CODE,Description,Divisional Code,Divisional Description,documents
1,1.1.1.2.1,Bread,1.1.1.1.1,            White - standard - unsliced,1,Food and non-alcoholic beverages,"Bread,             White - standard - unsliced, Food and non-alcoholic beverages"
2,1.1.1.2.1,Bread,1.1.1.1.2,            White - standard - sliced,1,Food and non-alcoholic beverages,"Bread,             White - standard - sliced, Food and non-alcoholic beverages"
3,1.1.1.2.1,Bread,1.1.1.1.3,            White - premium - sliced & unsliced,1,Food and non-alcoholic beverages,"Bread,             White - premium - sliced & unsliced, Food and non-alcoholic beverages"
4,1.1.1.2.1,Bread,1.1.1.1.4,            White - soft grain - sliced & unsliced,1,Food and non-alcoholic beverages,"Bread,             White - soft grain - sliced & unsliced, Food and non-alcoholic beverages"
5,1.1.1.2.1,Bread,1.1.1.2.1,"            Brown bread, incl granary brown - sliced & unsliced",1,Food and non-alcoholic beverages,"Bread,             Brown bread, incl granary brown - sliced & unsliced, Food and non-alcoholic beverages"
6,1.1.1.2.1,Bread,1.1.1.2.2,"            Wholemeal, incl granary wholemeal & 'granary' not spec - sliced & unsliced",1,Food and non-alcoholic beverages,"Bread,             Wholemeal, incl granary wholemeal & 'granary' not spec - sliced & unsliced, Food and non-alcoholic beverages"
7,1.1.1.2.1,Bread,1.1.1.3.1,"            Rolls - white, brown, wholemeal",1,Food and non-alcoholic beverages,"Bread,             Rolls - white, brown, wholemeal, Food and non-alcoholic beverages"
8,1.1.1.2.1,Bread,1.1.1.3.2,            Malt bread & fruit loaves,1,Food and non-alcoholic beverages,"Bread,             Malt bread & fruit loaves, Food and non-alcoholic beverages"
9,1.1.1.2.1,Bread,1.1.1.3.3,            Vienna & french bread eg baguette,1,Food and non-alcoholic beverages,"Bread,             Vienna & french bread eg baguette, Food and non-alcoholic beverages"
10,1.1.1.2.1,Bread,1.1.1.3.4,            Starch reduced bread & rolls,1,Food and non-alcoholic beverages,"Bread,             Starch reduced bread & rolls, Food and non-alcoholic beverages"
11,1.1.1.2.1,Bread,1.1.1.3.5,            Sandwiches - retail not takeaway,1,Food and non-alcoholic beverages,"Bread,             Sandwiches - retail not takeaway, Food and non-alcoholic beverages"
12,1.1.1.2.1,Bread,1.1.1.3.6,"            Other bread eg pitta, naan, garlic, rye, sunflower, ciabatta",1,Food and non-alcoholic beverages,"Bread,             Other bread eg pitta, naan, garlic, rye, sunflower, ciabatta, Food and non-alcoholic beverages"
13,1.1.1.2.2,"Buns, crispbread and biscuits",1.1.1.4.1,"            Buns, scones & teacakes",1,Food and non-alcoholic beverages,"Buns, crispbread and biscuits,             Buns, scones & teacakes, Food and non-alcoholic beverages"
