ids,ISCO_version,major,major_label,sub_major,sub_major_label,minor,minor_label,unit,description_isco,documents,label
1,ISCO-08,1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1111,Legislators,"Managers | Chief Executives, Senior Officials and Legislators | Legislators and Senior Officials | Legislators",1111
2,ISCO-08,1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1112,Senior Government Officials,"Managers | Chief Executives, Senior Officials and Legislators | Legislators and Senior Officials | Senior Government Officials",1112
3,ISCO-08,1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1113,Traditional Chiefs and Heads of Villages,"Managers | Chief Executives, Senior Officials and Legislators | Legislators and Senior Officials | Traditional Chiefs and Heads of Villages",1113
4,ISCO-08,1,Managers,11,"Chief Executives, Senior Officials and Legislators",111,Legislators and Senior Officials,1114,Senior Officials of Special-interest Organizations,"Managers | Chief Executives, Senior Officials and Legislators | Legislators and Senior Officials | Senior Officials of Special-interest Organizations",1114
5,ISCO-08,1,Managers,11,"Chief Executives, Senior Officials and Legislators",112,Managing Directors and Chief Executives,1120,Managing Directors and Chief Executives,"Managers | Chief Executives, Senior Officials and Legislators | Managing Directors and Chief Executives | Managing Directors and Chief Executives",1120
6,ISCO-08,1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1211,Finance Managers,Managers | Administrative and Commercial Managers | Business Services and Administration Managers | Finance Managers,1211
7,ISCO-08,1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1212,Human Resource Managers,Managers | Administrative and Commercial Managers | Business Services and Administration Managers | Human Resource Managers,1212
8,ISCO-08,1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1213,Policy and Planning Managers,Managers | Administrative and Commercial Managers | Business Services and Administration Managers | Policy and Planning Managers,1213
9,ISCO-08,1,Managers,12,Administrative and Commercial Managers,121,Business Services and Administration Managers,1219,Business Services and Administration Managers Not Elsewhere Classified,Managers | Administrative and Commercial Managers | Business Services and Administration Managers | Business Services and Administration Managers Not Elsewhere Classified,1219
10,ISCO-08,1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1221,Sales and Marketing Managers,"Managers | Administrative and Commercial Managers | Sales, Marketing and Development Managers | Sales and Marketing Managers",1221
11,ISCO-08,1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1222,Advertising and Public Relations Managers,"Managers | Administrative and Commercial Managers | Sales, Marketing and Development Managers | Advertising and Public Relations Managers",1222
12,ISCO-08,1,Managers,12,Administrative and Commercial Managers,122,"Sales, Marketing and Development Managers",1223,Research and Development Managers,"Managers | Administrative and Commercial Managers | Sales, Marketing and Development Managers | Research and Development Managers",1223
13,ISCO-08,1,Managers,13,Production and Specialized Services Managers,131,"Production Managers in Agriculture, Forestry and Fisheries",1311,Agricultural and Forestry Production Managers,"Managers | Production and Specialized Services Managers | Production Managers in Agriculture, Forestry and Fisheries | Agricultural and Forestry Production Managers",1311
14,ISCO-08,1,Managers,13,Production and Specialized Services Managers,131,"Production Managers in Agriculture, Forestry and Fisheries",1312,Aquaculture and Fisheries Production Managers,"Managers | Production and Specialized Services Managers | Production Managers in Agriculture, Forestry and Fisheries | Aquaculture and Fisheries Production Managers",1312
15,ISCO-08,1,Managers,13,Production and Specialized Services Managers,132,"Manufacturing, Mining, Construction and Distribution Managers",1321,Manufacturing Managers,"Managers | Production and Specialized Services Managers | Manufacturing, Mining, Construction and Distribution Managers | Manufacturing Managers",1321
16,ISCO-08,1,Managers,13,Production and Specialized Services Managers,132,"Manufacturing, Mining, Construction and Distribution Managers",1322,Mining Managers,"Managers | Production and Specialized Services Managers | Manufacturing, Mining, Construction and Distribution Managers | Mining Managers",1322
17,ISCO-08,1,Managers,13,Production and Specialized Services Managers,132,"Manufacturing, Mining, Construction and Distribution Managers",1323,Construction Managers,"Managers | Production and Specialized Services Managers | Manufacturing, Mining, Construction and Distribution Managers | Construction Managers",1323
18,ISCO-08,1,Managers,13,Production and Specialized Services Managers,132,"Manufacturing, Mining, Construction and Distribution Managers",1324,"Supply, Distribution and Related Managers","Managers | Production and Specialized Services Managers | Manufacturing, Mining, Construction and Distribution Managers | Supply, Distribution and Related Managers",1324
19,ISCO-08,1,Managers,13,Production and Specialized Services Managers,133,Information and Communications Technology Services Managers,1330,Information and Communications Technology Services Managers,Managers | Production and Specialized Services Managers | Information and Communications Technology Services Managers | Information and Communications Technology Services Managers,1330
20,ISCO-08,1,Managers,13,Production and Specialized Services Managers,134,Professional Services Managers,1341,Child Care Services Managers,Managers | Production and Specialized Services Managers | Professional Services Managers | Child Care Services Managers,1341
21,ISCO-08,1,Managers,13,Production and Specialized Services Managers,134,Professional Services Managers,1342,Health Services Managers,Managers | Production and Specialized Services Managers | Professional Services Managers | Health Services Managers,1342
22,ISCO-08,1,Managers,13,Production and Specialized Services Managers,134,Professional Services Managers,1343,Aged Care Services Managers,Managers | Production and Specialized Services Managers | Professional Services Managers | Aged Care Services Managers,1343
23,ISCO-08,1,Managers,13,Production and Specialized Services Managers,134,Professional Services Managers,1344,Social Welfare Managers,Managers | Production and Specialized Services Managers | Professional Services Managers | Social Welfare Managers,1344
24,ISCO-08,1,Managers,13,Production and Specialized Services Managers,134,Professional Services Managers,1345,Education Managers,Managers | Production and Specialized Services Managers | Professional Services Managers | Education Managers,1345
25,ISCO-08,1,Managers,13,Production and Specialized Services Managers,134,Professional Services Managers,1346,Financial and Insurance Services Branch Managers,Managers | Production and Specialized Services Managers | Professional Services Managers | Financial and Insurance Services Branch Managers,1346
26,ISCO-08,1,Managers,13,Production and Specialized Services Managers,134,Professional Services Managers,1349,Professional Services Managers Not Elsewhere Classified,Managers | Production and Specialized Services Managers | Professional Services Managers | Professional Services Managers Not Elsewhere Classified,1349
27,ISCO-08,1,Managers,14,"Hospitality, Retail and Other Services Managers",141,Hotel and Restaurant Managers,1411,Hotel Managers,"Managers | Hospitality, Retail and Other Services Managers | Hotel and Restaurant Managers | Hotel Managers",1411
28,ISCO-08,1,Managers,14,"Hospitality, Retail and Other Services Managers",141,Hotel and Restaurant Managers,1412,Restaurant Managers,"Managers | Hospitality, Retail and Other Services Managers | Hotel and Restaurant Managers | Restaurant Managers",1412
29,ISCO-08,1,Managers,14,"Hospitality, Retail and Other Services Managers",142,Retail and Wholesale Trade Managers,1420,Retail and Wholesale Trade Managers,"Managers | Hospitality, Retail and Other Services Managers | Retail and Wholesale Trade Managers | Retail and Wholesale Trade Managers",1420
30,ISCO-08,1,Managers,14,"Hospitality, Retail and Other Services Managers",143,Other Services Managers,1431,"Sports, Recreation and Cultural Centre Managers","Managers | Hospitality, Retail and Other Services Managers | Other Services Managers | Sports, Recreation and Cultural Centre Managers",1431
31,ISCO-08,1,Managers,14,"Hospitality, Retail and Other Services Managers",143,Other Services Managers,1439,Services Managers Not Elsewhere Classified,"Managers | Hospitality, Retail and Other Services Managers | Other Services Managers | Services Managers Not Elsewhere Classified",1439
32,ISCO-08,2,Professionals,21,Science and Engineering Professionals,211,Physical and Earth Science Professionals,2111,Physicists and Astronomers,Professionals | Science and Engineering Professionals | Physical and Earth Science Professionals | Physicists and Astronomers,2111
33,ISCO-08,2,Professionals,21,Science and Engineering Professionals,211,Physical and Earth Science Professionals,2112,Meteorologists,Professionals | Science and Engineering Professionals | Physical and Earth Science Professionals | Meteorologists,2112
34,ISCO-08,2,Professionals,21,Science and Engineering Professionals,211,Physical and Earth Science Professionals,2113,Chemists,Professionals | Science and Engineering Professionals | Physical and Earth Science Professionals | Chemists,2113
35,ISCO-08,2,Professionals,21,Science and Engineering Professionals,211,Physical and Earth Science Professionals,2114,Geologists and Geophysicists,Professionals | Science and Engineering Professionals | Physical and Earth Science Professionals | Geologists and Geophysicists,2114
36,ISCO-08,2,Professionals,21,Science and Engineering Professionals,212,"Mathematicians, Actuaries and Statisticians",2120,"Mathematicians, Actuaries and Statisticians","Professionals | Science and Engineering Professionals | Mathematicians, Actuaries and Statisticians | Mathematicians, Actuaries and Statisticians",2120
37,ISCO-08,2,Professionals,21,Science and Engineering Professionals,213,Life Science Professionals,2131,"Biologists, Botanists, Zoologists and Related Professionals","Professionals | Science and Engineering Professionals | Life Science Professionals | Biologists, Botanists, Zoologists and Related Professionals",2131
38,ISCO-08,2,Professionals,21,Science and Engineering Professionals,213,Life Science Professionals,2132,"Farming, Forestry and Fisheries Advisers","Professionals | Science and Engineering Professionals | Life Science Professionals | Farming, Forestry and Fisheries Advisers",2132
39,ISCO-08,2,Professionals,21,Science and Engineering Professionals,213,Life Science Professionals,2133,Environmental Protection Professionals,Professionals | Science and Engineering Professionals | Life Science Professionals | Environmental Protection Professionals,2133
40,ISCO-08,2,Professionals,21,Science and Engineering Professionals,214,Engineering Professionals (excluding Electrotechnology),2141,Industrial and Production Engineers,Professionals | Science and Engineering Professionals | Engineering Professionals (excluding Electrotechnology) | Industrial and Production Engineers,2141
41,ISCO-08,2,Professionals,21,Science and Engineering Professionals,214,Engineering Professionals (excluding Electrotechnology),2142,Civil Engineers,Professionals | Science and Engineering Professionals | Engineering Professionals (excluding Electrotechnology) | Civil Engineers,2142
42,ISCO-08,2,Professionals,21,Science and Engineering Professionals,214,Engineering Professionals (excluding Electrotechnology),2143,Environmental Engineers,Professionals | Science and Engineering Professionals | Engineering Professionals (excluding Electrotechnology) | Environmental Engineers,2143
43,ISCO-08,2,Professionals,21,Science and Engineering Professionals,214,Engineering Professionals (excluding Electrotechnology),2144,Mechanical Engineers,Professionals | Science and Engineering Professionals | Engineering Professionals (excluding Electrotechnology) | Mechanical Engineers,2144
44,ISCO-08,2,Professionals,21,Science and Engineering Professionals,214,Engineering Professionals (excluding Electrotechnology),2145,Chemical Engineers,Professionals | Science and Engineering Professionals | Engineering Professionals (excluding Electrotechnology) | Chemical Engineers,2145
45,ISCO-08,2,Professionals,21,Science and Engineering Professionals,214,Engineering Professionals (excluding Electrotechnology),2146,"Mining Engineers, Metallurgists and Related Professionals","Professionals | Science and Engineering Professionals | Engineering Professionals (excluding Electrotechnology) | Mining Engineers, Metallurgists and Related Professionals",2146
