id,job_title,company,soc_code
1,Software Engineer,Tech Innovators Ltd,2134
2,Marketing Manager,Brand Builders Inc,1234
3,Data Scientist,Data Wizards Co,3544
4,Product Manager,Product Pioneers Ltd,1139
5,Sales Executive,Sales Gurus Ltd,4356
6,HR Specialist,HR Solutions Inc,1136
7,Financial Analyst,Finance Experts Ltd,1131
8,Graphic Designer,Creative Minds Co,2131
9,Customer Support Representative,Support Heroes Ltd,8765
10,Operations Manager,Operations Masters Inc,1121
11,IT Support Specialist,Tech Support Co,2137
12,Business Analyst,Business Insights Ltd,1139
13,Project Manager,Project Leaders Inc,1139
14,Content Writer,Content Creators Co,4356
15,UX Designer,User Experience Ltd,2131
16,Network Engineer,Network Solutions Inc,2136
17,Quality Assurance Tester,QA Experts Ltd,2136
18,Digital Marketing Specialist,Digital Marketers Co,1132
19,Recruitment Consultant,Recruitment Pros Ltd,1136
20,Legal Advisor,Legal Experts Inc,2419
